value,r,g,b,a,hex
-30.0,255,255,255,157,#ffffff9d
-29.0,246,246,250,157,#f6f6fa9d
-28.0,238,237,244,157,#eeedf49d
-27.0,229,229,239,157,#e5e5ef9d
-26.0,221,220,233,157,#dddce99d
-25.0,212,211,228,157,#d4d3e49d
-24.0,202,193,224,157,#cac1e09d
-23.0,192,175,219,157,#c0afdb9d
-22.0,181,156,215,157,#b59cd79d
-21.0,171,138,210,157,#ab8ad29d
-20.0,161,120,206,157,#a178ce9d
-19.0,151,102,202,157,#9766ca9d
-18.0,141,83,197,157,#8d53c59d
-17.0,130,65,193,157,#8241c19d
-16.0,120,46,188,157,#782ebc9d
-15.0,110,28,184,157,#6e1cb89d
-14.0,122,66,198,157,#7a42c69d
-13.0,134,104,211,157,#8668d39d
-12.0,146,143,225,157,#928fe19d
-11.0,158,181,238,157,#9eb5ee9d
-10.0,170,219,252,157,#aadbfc9d
-9.0,140,180,231,157,#8cb4e79d
-8.0,110,141,210,157,#6e8dd29d
-7.0,81,103,190,157,#5167be9d
-6.0,51,64,169,157,#3340a99d
-5.0,21,25,148,157,#1519949d
-4.0,20,66,164,157,#1442a49d
-3.0,18,107,181,157,#126bb59d
-2.0,17,148,197,157,#1194c59d
-1.0,15,189,214,157,#0fbdd69d
0.0,14,230,230,157,#0ee6e69d
1.0,15,227,199,157,#0fe3c79d
2.0,15,225,168,157,#0fe1a89d
3.0,16,222,136,157,#10de889d
4.0,16,220,105,157,#10dc699d
5.0,17,217,74,157,#11d94a9d
6.0,59,225,102,157,#3be1669d
7.0,101,232,129,157,#65e8819d
8.0,143,240,157,157,#8ff09d9d
9.0,185,247,184,157,#b9f7b89d
10.0,227,255,212,157,#e3ffd49d
11.0,229,251,171,157,#e5fbab9d
12.0,231,248,130,157,#e7f8829d
13.0,233,244,89,157,#e9f4599d
14.0,235,241,48,157,#ebf1309d
15.0,237,237,7,157,#eded079d
16.0,240,223,9,157,#f0df099d
17.0,243,210,10,157,#f3d20a9d
18.0,246,196,12,157,#f6c40c9d
19.0,249,183,13,157,#f9b70d9d
20.0,252,169,15,157,#fca90f9d
21.0,238,137,16,157,#ee89109d
22.0,225,105,17,157,#e169119d
23.0,211,73,17,157,#d349119d
24.0,198,41,18,157,#c629129d
25.0,184,9,19,157,#b809139d
26.0,194,38,56,157,#c226389d
27.0,203,66,93,157,#cb425d9d
28.0,213,95,129,157,#d55f819d
29.0,222,123,166,157,#de7ba69d
30.0,232,152,203,157,#e898cb9d
31.0,233,169,197,157,#e9a9c59d
32.0,234,186,191,157,#eababf9d
33.0,236,204,186,157,#ecccba9d
34.0,237,221,180,157,#edddb49d
35.0,238,238,174,157,#eeeeae9d
36.0,241,241,190,157,#f1f1be9d
37.0,245,245,206,157,#f5f5ce9d
38.0,248,248,223,157,#f8f8df9d
39.0,252,252,239,157,#fcfcef9d
40.0,255,255,255,157,#ffffff9d
